"hostname","ifname","timeslot","max_metric_value","mean_metric_value"
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 19:00:00",50377814.666666664,42258711.650331214
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 20:00:00",53864804.58278146,43234709.15607065
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 21:00:00",65814943.51839465,46727811.60052078
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 22:00:00",59728798.16611296,39034724.97265415
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-25 23:00:00",40358692.73578595,30838486.123008847
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-26 00:00:00",56751884.61333334,40382017.91280431
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-26 01:00:00",30236786.266666666,20779657.243462127
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-26 02:00:00",22840402.16722408,16049193.2373861
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-26 03:00:00",11617759.462365592,6398656.32663283
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-27 10:00:00",1182007.8594412017,1182007.8594412017
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 12:00:00",55649976.05263158,45123470.51736658
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 13:00:00",59842561.578947365,47253592.531857096
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 14:00:00",62685986,51416064.27444094
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 15:00:00",70008519.67785235,55367991.92602519
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 16:00:00",73407576.18791947,55462323.74039868
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 17:00:00",61556318.43189369,51251585.86366357
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 18:00:00",54012617.81081081,43057552.0773494
nl-xy-switch-01,GigabitEthernet10/0/2,"2025-06-28 19:00:00",53860172.0794702,42178138.39696604
